"Species name",ASCK-Mean(%),ASCK-Sd(%),ASTb-Mean(%),ASTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),Pvalue,"Corrected pvalue"
p__Basidiomycota,41.62,19.84,95.44,7.234,71.41,11.03,96.21,2.498,45.54,4.832,99.59,0.247,55.58,0.9781,97.93,1.068,0.0009568,0.003155
p__Ascomycota,46.04,17.65,3.918,6.196,21.24,11.69,3.497,2.418,27.47,3.224,0.3461,0.2161,22.35,2.006,1.701,0.9431,0.001472,0.003155
p__Mortierellomycota,5.85,1.755,0.06269,0.08437,5.092,1.043,0.2025,0.1427,24.78,2.721,0.00864,0.006866,19.56,1.158,0.03219,0.03106,0.0007203,0.003155
p__Mucoromycota,2.823,1.998,0.4583,0.7652,0.565,0.3556,0.02711,0.01634,0.2831,0.06276,0.03609,0.02613,0.5116,0.2597,0.2787,0.2366,0.0117,0.01745
p__unclassified_k__Fungi,1.983,1.961,0.1025,0.1644,0.3016,0.1849,0.03134,0.01785,1.129,0.3516,0.0122,0.01621,1.192,0.221,0.04913,0.05918,0.002125,0.003984
p__Rozellomycota,1.499,1.649,0.001694,0.002934,1.271,1.065,0.02202,0.003882,0.4295,0.08867,0.003558,0.004954,0.3405,0.1245,0.006777,0.006395,0.001341,0.003155
p__Zoopagomycota,0.0008471,0.001467,0.005083,0.008803,0,0,0,0,0.2607,0.07593,0,0,0.3914,0.0688,0,0,0.00124,0.003155
p__Chytridiomycota,0.1135,0.07735,0.007624,0.01108,0.05083,0.04828,0,0,0.06252,0.02717,0,0,0.0449,0.01279,0,0,0.001366,0.003155
p__Kickxellomycota,0.03304,0.05076,0.0008471,0.001467,0.07285,0.07493,0.001694,0.002934,0,0,0.001017,0.002273,0.002541,0.004402,0,0,0.03327,0.04159
p__Glomeromycota,0.02795,0.03994,0,0,0,0,0.01017,0.01546,0.006099,0.00527,0.001017,0.001392,0.002541,0.002541,0,0,0.1021,0.1178
p__Olpidiomycota,0,0,0,0,0,0,0,0,0.03456,0.02481,0,0,0.00593,0.003882,0,0,0.0003864,0.003155
p__Basidiobolomycota,0.007624,0.009163,0,0,0,0,0,0,0.002541,0.005683,0,0,0.009318,0.007764,0,0,0.0128,0.01745
p__Blastocladiomycota,0,0,0,0,0.002541,0.004402,0,0,0.0005083,0.001137,0,0,0.005083,0.005083,0,0,0.1497,0.1604
p__Entorrhizomycota,0,0,0,0,0,0,0,0,0,0,0.0005083,0.001137,0.006777,0.007336,0,0,0.00368,0.006134
p__Calcarisporiellomycota,0,0,0,0,0.0008471,0.001467,0,0,0,0,0,0,0,0,0,0,0.3041,0.3041
