"Species name",CK-Mean(%),CK-Sd(%),Tb-Mean(%),Tb-Sd(%),Pvalue,"Corrected pvalue","Lower ci","Upper ci",Effectsize
g__Tricholoma,1.28,4.717,92.32,9.739,7.028E-6,0.0004369,-96.02,-84.89,-91.04
g__Mortierella,15.36,9.314,0.06571,0.1013,7.404E-6,0.0004369,10.42,20.4,15.3
g__Russula,13.87,16.85,1.442,2.518,0.003271,0.01798,4.331,21.6,12.43
g__Piloderma,5.153,16.01,0.1779,0.6641,0.0002266,0.002946,0.03742,13.7,4.975
g__Sebacina,3.27,3.164,0.5789,0.8166,0.01795,0.05298,1.018,4.435,2.691
g__Cladophialophora,3.585,2.687,0.2536,0.2824,7.446E-6,0.0004369,2.238,4.861,3.332
g__Laccaria,3.632,9.367,0.0005446,0.002038,7.863E-5,0.001301,0.01289,8.719,3.632
g__Penicillium,3.243,1.942,0.1434,0.1656,7.446E-6,0.0004369,2.224,4.298,3.1
g__Oidiodendron,3.197,3.094,0.0668,0.165,9.097E-6,0.0004369,1.837,4.975,3.131
g__unclassified_f__Russulaceae,3.081,11.45,0,0,0.03792,0.08963,0.000363,9.236,3.081
g__Trichoderma,2.987,1.885,0.07932,0.1105,3.841E-5,0.0008389,2,3.85,2.908
g__Hygrophorus,3.059,4.657,0.0007261,0.001553,0.01532,0.05163,0.9434,5.6,3.058
g__unclassified_f__Thelephoraceae,2.577,1.917,0.2171,0.3538,0.0005177,0.004934,1.325,3.326,2.36
g__Lactifluus,2.542,3.166,0.007442,0.02358,0.01012,0.03613,1.048,4.159,2.535
g__Cortinarius,0.6391,1.019,1.855,4.27,0.3,0.3895,-3.676,0.6174,-1.216
g__Saitozyma,2.168,3.998,0.1153,0.2793,3.05E-5,0.0007044,0.7646,4.23,2.053
g__Solicoccozyma,1.902,1.599,0.05355,0.1205,0.0002533,0.003169,1.109,2.69,1.849
g__unclassified_f__Amplistromataceae,1.622,3.983,0.01198,0.01942,7.072E-5,0.001207,0.3888,3.799,1.61
g__unclassified_p__Ascomycota,1.191,0.8391,0.2222,0.7369,0.0001229,0.001896,0.3471,1.513,0.9689
g__Hydnum,1.356,2.021,0,0,0.003392,0.01798,0.3572,2.372,1.356
g__Xerocomus,1.219,1.353,0.0009076,0.002749,2.027E-5,0.000615,0.5602,1.922,1.218
g__unclassified_k__Fungi,1.148,0.9845,0.04357,0.07777,1.128E-5,0.0004369,0.6926,1.699,1.105
g__unclassified_c__Sordariomycetes,0.8562,0.7976,0.3075,0.7667,0.003522,0.01849,-0.06892,1.116,0.5488
g__Exophiala,0.9815,0.6663,0.08205,0.1586,0.004037,0.02004,0.5493,1.23,0.8995
g__Trechispora,0.5584,0.8532,0.4524,1.479,0.006503,0.02919,-0.8818,0.8101,0.1061
g__Paraconiothyrium,1.002,3.673,0.001634,0.00236,0.0004105,0.004483,0.008895,2.972,1
g__unclassified_c__Eurotiomycetes,0.8488,0.8878,0.01997,0.03361,7.298E-6,0.0004369,0.481,1.342,0.8288
g__Lactarius,0.7713,2.157,0.05173,0.1101,0.2908,0.3895,-0.05591,2.057,0.7195
g__Tomentella,0.5418,1.273,0.1369,0.2659,0.02156,0.06164,-0.07315,1.124,0.405
g__Cenococcum,0.3986,0.3485,0.2204,0.5539,0.01072,0.03727,-0.171,0.4837,0.1783
g__Sistotrema,0.6148,1.6,0.0007261,0.002098,0.004104,0.02019,0.01017,1.566,0.6141
g__Pseudogymnoascus,0.6007,0.6143,0.003267,0.006098,2.958E-5,0.0007044,0.2924,0.9342,0.5974
g__Umbelopsis,0.5233,0.5216,0.06898,0.1249,5.782E-5,0.001089,0.2218,0.7608,0.4544
