"Species name",ASCK-Mean(%),ASCK-Sd(%),ASTb-Mean(%),ASTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),Pvalue,"Corrected pvalue"
g__Bradyrhizobium,5.597,2.137,4.098,1.634,6.982,0.697,5.572,1.823,9.457,1.782,3.598,1.805,8.653,0.5991,4.338,2.035,0.004769,0.04431
g__Acidothermus,4.375,3.144,4.313,2.738,4.004,0.4867,3.089,2.226,4.479,0.5005,5.837,2.461,7.432,0.2243,12.59,11.16,0.1503,0.2429
g__Mycobacterium,6.048,2.819,5.788,1.362,5.545,1.748,4.882,0.9951,4.938,0.7223,4.697,0.8698,5.249,0.326,7.104,2.548,0.7481,0.7676
g__norank_f__Xanthobacteraceae,5.414,1.642,2.041,0.196,4.283,0.7016,2.676,0.9369,3.975,0.7067,1.941,0.4927,5.361,0.1708,1.552,0.5742,0.00244,0.04431
g__Burkholderia-Caballeronia-Paraburkholderia,2.302,1.518,4.15,4.711,2.54,0.9632,2.221,0.7123,3.415,0.6493,1.227,0.3904,3.14,0.1345,4.979,0.9689,0.03245,0.09153
g__norank_f__norank_o__Subgroup_2,2.466,2.673,0.599,0.5639,6.902,1.53,0.249,0.1982,4.454,2.044,0.2936,0.2485,4.637,0.3223,1.859,1.705,0.00272,0.04431
g__norank_f__norank_o__Gaiellales,3.71,1.039,2.53,0.8873,0.4363,0.1155,2.766,2.306,3.292,0.4003,3.65,0.527,3.184,0.1616,1.744,0.456,0.03054,0.08903
g__norank_f__norank_o__Elsterales,3.81,3.32,1.639,1.952,7.935,1.231,0.5928,0.4289,1.528,0.2637,1.046,0.4073,2.246,0.1432,1.135,0.3011,0.0219,0.07331
g__norank_f__norank_o__Vicinamibacterales,2.469,3.31,3.174,2.265,0.7802,0.3907,4.146,2.44,1.713,0.9719,3.12,1.405,1.055,0.02597,1.255,0.7675,0.1583,0.2511
g__norank_f__67-14,1.687,1.295,2.9,1.108,0.04314,0.03335,4.092,0.9201,1.94,0.1441,2.876,1.286,0.5029,0.06927,3.142,0.6542,0.009991,0.05016
g__norank_f__norank_o__Acidobacteriales,2.72,3.299,0.4708,0.3384,5.361,1.482,0.2896,0.1762,2.56,1.173,0.3113,0.1344,3.243,0.2113,1.299,1.259,0.002955,0.04431
g__Conexibacter,1.541,0.8319,1.761,0.7951,1.796,0.4942,1.452,0.7012,1.273,0.1776,1.714,0.4257,1.579,0.08528,2.317,0.9745,0.3589,0.4398
g__norank_f__norank_o__IMCC26256,1.814,1.06,1.339,0.574,1.31,0.2012,1.745,0.4877,2.062,0.1748,1.813,0.4287,1.944,0.1766,1.06,0.1331,0.1287,0.2198
g__Bryobacter,1.946,1.33,0.6052,0.239,2.702,0.8106,0.689,0.1535,2.92,0.4947,0.4496,0.1457,2.334,0.09239,0.737,0.5098,0.007808,0.04756
g__Roseiarcus,1.017,0.8346,0.9034,0.8097,2.066,0.6907,0.6964,0.5939,2.216,0.3895,0.5021,0.1617,2.443,0.264,1.454,0.2103,0.007104,0.04732
g__Streptomyces,0.668,0.4107,2.341,0.9933,0.4449,0.1213,2.723,0.8143,0.7469,0.07487,1.67,0.5344,0.5891,0.07106,1.832,0.6018,0.002259,0.04431
g__norank_f__Acetobacteraceae,1.071,0.7219,0.8763,0.4899,1.729,0.5148,0.9158,0.5057,1.589,0.236,0.5324,0.1073,2.148,0.2195,1.655,0.6974,0.01499,0.0621
g__Pseudonocardia,0.3882,0.2749,1.501,0.4297,0.01972,0.0113,2.175,0.7946,0.1649,0.03475,3.26,1.451,0.1306,0.02377,0.7284,0.2233,0.0009237,0.04431
