"Species name",CK-Mean(%),CK-Sd(%),Tb-Mean(%),Tb-Sd(%),Pvalue,"Corrected pvalue","Lower ci","Upper ci",Effectsize
g__Bradyrhizobium,7.927,2.071,4.287,1.77,0.0001502,0.002369,2.247,5.067,3.64
g__Acidothermus,4.988,1.852,6.369,5.953,0.9817,1,-5.221,1.25,-1.381
g__Mycobacterium,5.373,1.434,5.486,1.618,0.9633,1,-1.238,0.9804,-0.1136
g__norank_f__Xanthobacteraceae,4.646,1.052,2.037,0.6469,1.144E-5,0.0009889,1.989,3.295,2.61
g__Burkholderia-Caballeronia-Paraburkholderia,2.93,0.9254,2.87,2.495,0.2063,0.3152,-1.483,1.271,0.05985
g__norank_f__norank_o__Gaiellales,2.746,1.351,2.812,1.269,0.9817,1,-0.9858,0.8971,-0.06613
g__norank_f__norank_o__Subgroup_2,4.592,2.245,0.6848,0.9714,4.775E-5,0.001233,2.713,5.245,3.907
g__norank_f__norank_o__Elsterales,3.544,2.893,1.095,0.8986,0.0007324,0.006114,1.002,4.136,2.448
g__norank_f__norank_o__Vicinamibacterales,1.534,1.548,2.952,1.849,0.01685,0.04876,-2.511,-0.1735,-1.417
g__norank_f__67-14,1.171,0.9751,3.199,1.067,0.0004017,0.004391,-2.721,-1.246,-2.027
g__norank_f__norank_o__Acidobacteriales,3.341,1.926,0.5525,0.6635,2.613E-5,0.001022,1.783,3.832,2.789
g__norank_f__norank_o__IMCC26256,1.822,0.5285,1.535,0.4973,0.1414,0.2393,-0.07783,0.6422,0.2872
g__Conexibacter,1.508,0.4435,1.797,0.6838,0.2412,0.357,-0.7355,0.09357,-0.2896
g__Bryobacter,2.539,0.7763,0.5958,0.2716,4.752E-5,0.001233,1.499,2.331,1.943
g__Roseiarcus,1.976,0.7243,0.8338,0.5537,0.000618,0.005722,0.6387,1.575,1.142
g__Streptomyces,0.6315,0.2112,2.074,0.7663,9.226E-6,0.0009889,-1.845,-1.039,-1.442
g__norank_f__Acetobacteraceae,1.628,0.5315,0.9289,0.581,0.002247,0.01236,0.2794,1.086,0.6991
g__Pseudonocardia,0.1743,0.1693,2.108,1.348,1.144E-5,0.0009889,-2.651,-1.292,-1.934
g__Candidatus_Solibacter,1.436,0.3464,0.5882,0.3065,6.359E-5,0.001382,0.6209,1.081,0.8479
g__norank_f__Micropepsaceae,1.177,0.4444,0.7836,0.5536,0.02292,0.06099,0.0002637,0.7235,0.3932
g__Nocardioides,0.3634,0.3645,1.51,0.6946,0.0001031,0.001978,-1.567,-0.7659,-1.147
g__Acidipila,1.223,0.6028,0.6215,0.5143,0.01585,0.04638,0.1561,0.9711,0.6019
g__norank_f__norank_o__norank_c__KD4-96,0.3552,0.6175,1.477,0.8854,0.001647,0.009821,-1.674,-0.5562,-1.122
g__norank_f__norank_o__norank_c__AD3,1.711,2.696,0.1088,0.1197,0.004352,0.01957,0.3724,3.108,1.603
g__Granulicella,1.283,0.7152,0.4973,0.4879,0.004082,0.01857,0.3466,1.205,0.7858
g__Candidatus_Xiphinematobacter,1.129,0.5674,0.5417,0.4824,0.004705,0.02046,0.1932,0.9587,0.5868
g__Solirubrobacter,0.2163,0.2673,1.429,0.6759,1.724E-5,0.0009889,-1.57,-0.8228,-1.213
g__Sphingomonas,0.5348,0.3031,1.11,0.4291,0.001019,0.007637,-0.8417,-0.3308,-0.575
g__Acidibacter,0.8465,0.3115,0.7421,0.3642,0.27,0.3892,-0.1635,0.3408,0.1042
