,AK,AP,AN,TK,TP,TN,OM,PH,sand,silt,clay
g__Tricholoma,-0.28679,-0.5591,-0.09157,0.38692,-0.78555,-0.89266,-0.29794,-0.49059,0.26528,-0.47709,0.44046
g__Mortierella,0.13928,0.72032,0.20464,-0.63103,0.76113,0.80285,0.29885,0.36025,-0.51497,0.67161,-0.25103
g__Russula,0.56982,0.34663,0.05732,-0.22719,0.42855,0.45614,0.51536,0.18254,-0.23943,0.35012,-0.3616
g__Piloderma,-0.00442,0.67372,0.17318,-0.60542,0.54995,0.61059,0.1824,0.37644,-0.53277,0.62733,-0.09524
g__Sebacina,-0.06709,0.54797,0.35102,-0.42258,0.3932,0.4767,0.1166,0.55352,-0.10077,0.34449,-0.3458
g__Cladophialophora,0.37705,0.55044,0.03236,-0.40778,0.71106,0.78975,0.32044,0.35672,-0.44454,0.51791,-0.20643
g__Laccaria,0.0825,0.46168,0.02863,-0.31759,0.68218,0.81618,0.04043,0.45625,-0.33045,0.4008,-0.12228
g__Penicillium,0.27615,0.51288,0.06294,-0.38065,0.78805,0.89035,0.27888,0.43936,-0.33471,0.46509,-0.27529
g__Oidiodendron,0.49966,0.45124,-0.06627,-0.30879,0.70633,0.78508,0.34633,0.25891,-0.41448,0.46568,-0.22707
g__unclassified_f__Russulaceae,0.06859,0.42504,0.1554,-0.30744,0.15347,0.27668,-0.04596,0.30478,-0.34005,0.30016,0.12665
g__Trichoderma,0.27642,0.64261,0.28122,-0.52256,0.68705,0.78022,0.43279,0.45062,-0.38258,0.54573,-0.32714
g__Hygrophorus,-0.13516,0.67686,0.44484,-0.72612,0.39395,0.36207,0.2766,0.20838,-0.45349,0.65089,-0.14161
g__unclassified_f__Thelephoraceae,0.24123,0.5384,0.21087,-0.47025,0.59493,0.661,0.39569,0.25751,-0.38997,0.50625,-0.20448
g__Lactifluus,-0.27194,0.60048,0.21455,-0.78047,0.46209,0.28475,0.03398,0.14087,-0.58865,0.71108,0.09259
g__Cortinarius,-0.0689,0.16488,-0.00564,-0.10495,0.32029,0.31066,0.13999,0.19233,0.10914,0.09366,-0.44076
g__Saitozyma,0.28415,0.57799,0.07864,-0.51573,0.68517,0.69287,0.35071,0.19209,-0.47405,0.59257,-0.20559
g__Solicoccozyma,-0.00658,0.65395,0.20558,-0.6362,0.64105,0.61606,0.20113,0.22646,-0.48316,0.64441,-0.14109
g__unclassified_f__Amplistromataceae,0.23803,0.31836,-0.15194,-0.37476,0.78937,0.69378,0.16152,0.08736,-0.45307,0.53194,-0.11899
g__unclassified_p__Ascomycota,0.13648,0.51989,0.08467,-0.3763,0.70835,0.73855,0.15445,0.50734,-0.24155,0.42908,-0.42682
g__Hydnum,-0.19725,0.6933,0.4207,-0.72517,0.53669,0.458,0.16301,0.3693,-0.44432,0.65105,-0.18031
g__Xerocomus,0.03347,0.65319,0.12688,-0.64204,0.76728,0.75921,0.18259,0.33738,-0.50785,0.70283,-0.23813
g__unclassified_k__Fungi,0.30192,0.48135,-0.0118,-0.44365,0.78739,0.75617,0.31828,0.26697,-0.4533,0.58463,-0.26513
g__unclassified_c__Sordariomycetes,0.18551,0.42133,0.16605,-0.3168,0.5398,0.56881,0.23443,0.49061,-0.14168,0.32131,-0.46936
g__Exophiala,0.04989,0.39105,-0.02581,-0.45706,0.58977,0.49945,0.26916,-0.05309,-0.36985,0.52218,-0.16745
g__Trechispora,0.56711,0.37932,0.18113,-0.19488,0.38083,0.50183,0.55224,0.25692,-0.07755,0.26039,-0.50391
