,AK,AP,AN,TK,TP,TN,OM,PH,sand,silt,clay
g__Bradyrhizobium,0.07666,0.74935,0.26296,-0.68667,0.5726,0.57476,0.37334,0.29953,-0.56088,0.72181,-0.21108
g__Acidothermus,0.26369,-0.00302,0.0809,-0.04851,-0.04795,-0.14254,0.21029,-0.16061,-0.18465,0.13418,0.03835
g__Mycobacterium,0.32558,-0.11006,-0.04607,0.21444,0.01891,0.0366,0.23731,0.12348,0.16337,-0.1387,-0.31254
g__norank_f__Xanthobacteraceae,0.2768,0.39688,-0.21936,-0.38663,0.76055,0.72523,0.19312,0.01288,-0.55292,0.57641,0.01567
g__Burkholderia-Caballeronia-Paraburkholderia,0.50116,0.32707,0.41607,-0.10196,0.10551,0.26429,0.60173,0.49836,0.06193,0.06202,-0.54392
g__norank_f__norank_o__Gaiellales,-0.40958,-0.19542,-0.33726,-0.07672,0.24493,0.00987,-0.2595,-0.35133,-0.12986,0.15803,0.1792
g__norank_f__norank_o__Subgroup_2,0.38084,0.62601,0.23307,-0.47075,0.54521,0.64026,0.2189,0.42751,-0.43789,0.53388,-0.15611
g__norank_f__norank_o__Elsterales,0.31212,0.34891,-0.08911,-0.30744,0.50082,0.45608,0.05898,0.14031,-0.52629,0.47462,0.09262
g__norank_f__norank_o__Vicinamibacterales,-0.41271,-0.32173,-0.07488,0.20885,-0.31653,-0.33009,-0.29894,-0.24726,0.3099,-0.32039,0.19602
g__norank_f__67-14,-0.24319,-0.29596,0.16525,0.32918,-0.54782,-0.4366,0.08273,-0.03152,0.65111,-0.53883,-0.30021
g__norank_f__norank_o__Acidobacteriales,0.42963,0.54496,0.12135,-0.41875,0.58008,0.66297,0.21303,0.34425,-0.45991,0.53519,-0.10775
g__norank_f__norank_o__IMCC26256,-0.34077,0.22752,-0.13561,-0.40203,0.35676,0.24904,-0.00219,-0.18007,-0.34555,0.42653,0.11531
g__Conexibacter,0.24606,-0.12502,-0.02551,0.18665,-0.31625,-0.29075,0.12759,-0.18791,0.10463,-0.18208,0.01526
g__Bryobacter,0.14542,0.65757,0.19254,-0.5346,0.64127,0.72488,0.26574,0.43832,-0.463,0.60469,-0.21155
g__Roseiarcus,0.2641,0.68449,0.29549,-0.62209,0.44801,0.47506,0.39369,0.3152,-0.5206,0.63246,-0.19008
g__Streptomyces,-0.27738,-0.46478,0.09461,0.46794,-0.70475,-0.64583,-0.07298,-0.18227,0.64086,-0.65222,-0.07463
