Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"PWY-3781","0.001568","0.002558","7.614","0.3155","5.565","0.4907","7.546","0.1751","6.1","0.3934","7.807","0.0234","5.879","0.0824","7.629","0.0956","6.076","0.0321"
"PWY-7279","0.001568","0.002558","7.614","0.3155","5.565","0.4907","7.546","0.1751","6.1","0.3934","7.807","0.0234","5.879","0.0824","7.629","0.0956","6.076","0.0321"
"PWY-7288","0.002618","0.003385","4.344","0.2081","3.315","0.4289","4.302","0.0645","3.343","0.7114","4.463","0.0133","3.206","0.099","4.338","0.0879","3.169","0.0278"
"GLYOXYLATE-BYPASS","0.001626","0.002558","3.377","0.112","2.782","0.1163","3.36","0.0722","2.898","0.2865","3.45","0.0078","2.815","0.0228","3.385","0.0198","2.866","0.0137"
"PWY-6351","0.001398","0.002558","2.784","0.104","2.131","0.1205","2.772","0.0484","2.119","0.119","2.846","0.0081","2.099","0.0337","2.776","0.0657","2.017","0.0123"
"PWY-5690","0.001154","0.002558","2.599","0.0782","2.181","0.0795","2.586","0.0478","2.337","0.1301","2.648","0.0056","2.234","0.0182","2.607","0.0161","2.278","0.0126"
"NONOXIPENT-PWY","0.006725","0.00776","2.511","0.0281","2.092","0.1865","2.518","0.0488","2.391","0.3108","2.533","0.0058","2.044","0.0136","2.521","0.0255","2.339","0.0144"
"PWY-7219","0.001685","0.002558","2.443","0.071","2.167","0.0845","2.438","0.0385","2.337","0.1078","2.486","0.0045","2.273","0.02","2.458","0.0071","2.288","0.0157"
"PWY-7111","0.00149","0.002558","2.41","0.0617","2.115","0.0737","2.402","0.0454","2.27","0.1191","2.449","0.005","2.118","0.0157","2.417","0.0084","2.167","0.0149"
"PWY-7229","0.001542","0.002558","2.4","0.076","2.053","0.0818","2.394","0.0419","2.267","0.13","2.447","0.005","2.137","0.0169","2.415","0.0093","2.181","0.0163"
"PWY-6126","0.009998","0.01119","2.238","0.0597","1.986","0.0766","2.239","0.0321","2.264","0.1533","2.271","0.0038","2.121","0.0183","2.257","0.0027","2.162","0.0193"
"PWY-7007","0.001141","0.002558","2.328","0.0689","1.75","0.1637","2.32","0.0403","2.106","0.144","2.372","0.0033","1.872","0.0306","2.325","0.0047","1.883","0.029"
"TRNA-CHARGING-PWY","0.004296","0.005053","2.108","0.0252","1.987","0.0119","2.1","0.0172","2.104","0.0554","2.123","0.0029","2.045","0.0089","2.109","0.0096","2.077","0.0077"
"VALSYN-PWY","0.001502","0.002558","2.086","0.037","1.909","0.0429","2.079","0.0326","2.022","0.0888","2.11","0.0037","1.899","0.0128","2.089","0.0067","1.942","0.0124"
"PWY-6606","0.0008349","0.002558","2.198","0.051","1.827","0.1114","2.176","0.027","1.59","0.5125","2.234","0.0047","1.982","0.0131","2.181","0.0698","1.842","0.0267"
"PWY-5659","0.0007236","0.002558","1.868","0.0858","2.168","0.0193","1.856","0.0207","2.108","0.0514","1.816","0.0015","2.179","0.0068","1.837","0.0091","2.112","0.0123"
"PWY-7184","0.1239","0.1256","1.966","0.0486","1.767","0.1033","1.975","0.0315","2.125","0.1859","1.988","0.0031","1.962","0.028","1.991","0.0064","2.001","0.0252"
"PWY-7282","0.001109","0.002558","1.938","0.0615","1.637","0.0625","1.928","0.0429","1.811","0.1041","1.977","0.0042","1.661","0.0168","1.949","0.0092","1.723","0.0161"
"PENTOSE-P-PWY","0.003638","0.004401","1.918","0.0436","1.588","0.0897","1.915","0.0396","1.827","0.1454","1.947","0.0045","1.619","0.0073","1.927","0.0095","1.754","0.0105"
"PWY-7228","0.008114","0.00922","1.769","0.0287","1.692","0.0875","1.774","0.0235","1.942","0.1424","1.782","0.0019","1.816","0.0079","1.786","0.0084","1.836","0.0165"
"SER-GLYSYN-PWY","0.01324","0.01399","1.8","0.0166","1.744","0.0173","1.797","0.0143","1.835","0.0694","1.81","0.0019","1.773","0.0092","1.802","0.0024","1.803","0.0101"
"PWY-7208","0.01374","0.01432","1.787","0.0426","1.609","0.0526","1.79","0.0251","1.855","0.1399","1.809","0.0028","1.719","0.0155","1.804","0.003","1.761","0.0165"
"P221-PWY","0.002027","0.002869","2.633","0.2165","0.9165","0.6485","2.568","0.1186","0.7412","0.3712","2.766","0.0123","0.9064","0.1037","2.619","0.0656","0.9005","0.0115"
"PANTO-PWY","0.0009356","0.002558","1.784","0.0381","1.629","0.0387","1.784","0.0182","1.753","0.0593","1.809","0.0026","1.672","0.0072","1.79","0.0037","1.7","0.0054"
"PWY-7411","0.00129","0.002558","1.79","0.0545","1.479","0.1182","1.779","0.038","1.639","0.077","1.825","0.0043","1.557","0.0151","1.797","0.0081","1.588","0.0103"
"THRESYN-PWY","0.0009888","0.002558","1.742","0.0587","1.497","0.0566","1.74","0.0323","1.665","0.0733","1.78","0.0038","1.546","0.0095","1.755","0.0091","1.592","0.0056"
"HEME-BIOSYNTHESIS-II","0.00117","0.002558","1.776","0.0507","1.502","0.1033","1.762","0.037","1.576","0.0814","1.807","0.0041","1.476","0.0078","1.778","0.0112","1.539","0.0075"
"PWY-5067","0.002333","0.003182","1.604","0.0286","1.655","0.0158","1.577","0.0108","1.66","0.057","1.587","0.0012","1.67","0.0185","1.611","0.033","1.723","0.0075"
"PWY-6837","0.0009911","0.002558","1.757","0.0804","1.413","0.1131","1.767","0.0298","1.657","0.0663","1.807","0.0035","1.411","0.0187","1.775","0.0069","1.46","0.0173"
"PWY-5083","0.001743","0.002558","2.047","0.0898","1.325","0.2802","2.02","0.0502","1.055","0.2617","2.106","0.0055","1.219","0.0315","2.023","0.0332","1.197","0.0353"
"PWY-7197","0.0024","0.003215","1.572","0.0303","1.476","0.0736","1.579","0.0259","1.774","0.1573","1.584","0.0021","1.632","0.0189","1.591","0.0081","1.665","0.0203"
"P185-PWY","0.003503","0.004347","1.635","0.0252","1.489","0.023","1.632","0.0295","1.641","0.125","1.652","0.0031","1.523","0.0075","1.642","0.01","1.581","0.0072"
"PWY-5920","0.001316","0.002558","1.66","0.0426","1.49","0.0662","1.656","0.0268","1.573","0.0674","1.688","0.0025","1.464","0.0105","1.666","0.006","1.517","0.0111"
"PWY-7221","0.1502","0.1502","1.571","0.024","1.513","0.0656","1.572","0.0181","1.668","0.0985","1.584","0.0017","1.579","0.002","1.582","0.0049","1.591","0.011"
"ANAGLYCOLYSIS-PWY","0.0009568","0.002558","1.646","0.0466","1.407","0.0654","1.644","0.0247","1.554","0.0718","1.675","0.0038","1.443","0.0112","1.653","0.0069","1.498","0.0079"
"PWY-5189","0.004312","0.005053","1.559","0.0353","1.49","0.0615","1.563","0.0189","1.576","0.0698","1.584","0.0013","1.454","0.0185","1.567","0.0052","1.498","0.0189"
"PWY-4981","0.001302","0.002558","1.563","0.031","1.434","0.0186","1.561","0.0182","1.537","0.0599","1.583","0.0022","1.444","0.0071","1.567","0.0035","1.475","0.0076"
"PWY-922","0.001382","0.002558","1.559","0.0379","1.403","0.0185","1.556","0.0212","1.508","0.0727","1.583","0.0026","1.43","0.0073","1.567","0.0064","1.46","0.0096"
"PWY-4984","0.001186","0.002558","1.556","0.0415","1.366","0.0394","1.55","0.0271","1.495","0.0668","1.582","0.003","1.41","0.0091","1.563","0.0056","1.439","0.0068"
"UDPNACETYLGALSYN-PWY","0.001415","0.002558","1.555","0.046","1.345","0.045","1.551","0.0238","1.476","0.0771","1.582","0.003","1.408","0.0104","1.563","0.0063","1.431","0.0106"
"PWY-5667","0.001207","0.002558","1.55","0.0503","1.271","0.1027","1.541","0.0343","1.444","0.0726","1.581","0.004","1.354","0.0128","1.56","0.0073","1.391","0.0104"
"PWY-6609","0.001715","0.002558","1.735","0.1149","1.203","0.1701","1.72","0.0319","1.032","0.5567","1.804","0.0067","1.168","0.0317","1.731","0.0662","1.072","0.0239"
"SO4ASSIM-PWY","0.001536","0.002558","1.52","0.0959","1.208","0.0624","1.528","0.0426","1.377","0.1633","1.58","0.0039","1.154","0.0337","1.547","0.0066","1.201","0.0221"
"PWY66-422","0.0008356","0.002558","0.3515","0.4666","1.447","0.0627","0.4753","0.1564","1.612","0.1408","0.0548","0.0486","1.54","0.0135","0.5406","0.3687","1.615","0.0056"
"PWY-5994","0.00119","0.002558","0.1465","0.2186","2.542","0.6978","0.1931","0.1471","1.379","0.6315","0.0203","0.0155","1.653","0.1863","0.1105","0.0516","1.427","0.0691"
"PWY-7118","0.00122","0.002558","0.1693","0.2623","1.29","0.334","0.1784","0.1254","0.8654","0.3299","0.0192","0.0124","1.282","0.0628","0.1098","0.0078","1.169","0.0198"
"PWY-7210","0.002543","0.003347","0.2006","0.3142","1.018","0.3184","0.1833","0.112","0.8263","0.2757","0.0242","0.0094","1.083","0.0686","0.1395","0.0532","1.065","0.0051"
"PWY-7385","0.001455","0.002558","0.1745","0.2662","1.042","0.1996","0.1947","0.1326","0.7971","0.2472","0.0245","0.0138","1.074","0.0344","0.1379","0.012","1.016","0.0108"
"LEU-DEG2-PWY","0.001514","0.002558","0.1045","0.1597","0.9747","0.2726","0.1861","0.0656","1.105","0.6704","0.012","0.0112","0.7836","0.0577","0.1212","0.1308","1.017","0.0416"
"PWY-6317","0.002074","0.002881","0.1266","0.1901","1.07","0.2205","0.1406","0.1065","0.8541","0.2709","0.0161","0.0111","0.9638","0.0451","0.1008","0.0291","0.8894","0.0435"
"PWY-7388","0.001376","0.002558","0.1059","0.1584","1.174","0.4207","0.1109","0.0874","0.6538","0.3435","0.0106","0.0067","1.066","0.0834","0.0656","0.0166","0.9215","0.0259"
"PWY-621","0.001773","0.002558","0.0388","0.0558","0.7081","0.2254","0.0644","0.0502","0.492","0.1761","0.0067","0.0057","0.5805","0.0333","0.0379","0.0242","0.5222","0.0147"
"PWY3O-355","0.001752","0.002558","0.0314","0.0437","0.697","0.2746","0.0564","0.0466","0.4029","0.1781","0.007","0.0058","0.5354","0.0289","0.0362","0.0089","0.4581","0.0165"
"PWY-7269","0.001329","0.002558","0.0328","0.0445","0.6767","0.3054","0.066","0.0551","0.3797","0.1505","0.0065","0.0069","0.5515","0.0181","0.0258","0.0155","0.4526","0.0187"
"PWY66-409","0.001619","0.002558","0.0766","0.0667","0.3666","0.1123","0.092","0.1457","0.1868","0.1444","0.006","0.0074","0.6536","0.0775","0.0597","0.0748","0.5209","0.0727"
"TYRFUMCAT-PWY","0.001123","0.002558","0.056","0.0756","0.4284","0.2177","0.051","0.0469","0.2226","0.1209","0.0061","0.0045","0.5509","0.0332","0.0406","0.0106","0.4128","0.0318"
"PWY-7409","0.001681","0.002558","0.0244","0.0315","0.5947","0.3604","0.0481","0.0373","0.3725","0.1696","0.0071","0.006","0.2728","0.0309","0.034","0.0046","0.2721","0.0326"
"PWY-7268","0.001329","0.002558","0.0245","0.0332","0.4832","0.2075","0.0492","0.041","0.2781","0.1087","0.0049","0.0052","0.3994","0.0125","0.0193","0.0116","0.3302","0.0133"
"PWY4FS-7","0.00118","0.002558","0.0222","0.0294","0.452","0.1489","0.0465","0.0392","0.2779","0.1118","0.0052","0.0055","0.3667","0.0191","0.0231","0.015","0.3153","0.0122"
"PWY4FS-8","0.00118","0.002558","0.0222","0.0294","0.452","0.1489","0.0465","0.0392","0.2779","0.1118","0.0052","0.0055","0.3667","0.0191","0.0231","0.015","0.3153","0.0122"
