Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"3.6.1.3","1.0259779038519","3.436","0.0116","3.349","0.1486","-0.1796","-0.02671","-0.08686","0.008242","0.00893"
"3.2.1.3","1.0437424058323","3.436","0.0506","3.292","0.4384","-0.357","0.07927","-0.1444","0.04564","0.04845"
"1.14.14.1","2.1114101184069","3.923","0.1141","1.858","0.4212","-2.276","-1.84","-2.065","7.468E-6","1.23E-5"
"2.7.7.6","1.1110200737403","2.712","0.0226","2.441","0.1124","-0.3344","-0.2176","-0.2711","7.468E-6","1.23E-5"
"3.2.1.18","1.1116279069767","2.39","0.026","2.15","0.2563","-0.3866","-0.1215","-0.2406","0.001406","0.001569"
"5.2.1.8","0.96503831417625","2.015","0.0088","2.088","0.0954","0.02015","0.117","0.07321","0.01797","0.01914"
"2.7.7.7","0.9482151835093","1.886","0.0069","1.989","0.0771","0.06449","0.1424","0.1034","0.001406","0.001569"
"3.4.25.1","1.0083832335329","1.684","0.0091","1.67","0.0738","-0.05259","0.02379","-0.0145","0.1904","0.1981"
"5.3.1.4","0.99270072992701","1.632","0.0268","1.644","0.1241","-0.06107","0.0687","0.0115","0.3012","0.3084"
"2.3.1.48","1.1190159574468","1.683","0.0107","1.504","0.0874","-0.2272","-0.1376","-0.1785","7.468E-6","1.23E-5"
"3.6.3.14","0.94338380513496","1.433","0.0067","1.519","0.0822","0.04264","0.1252","0.08636","0.001406","0.001569"
"3.1.3.16","0.95209580838323","1.431","0.0044","1.503","0.041","0.04986","0.09265","0.0715","0.001198","0.001376"
"1.1.99.1","2.2713466081674","2.019","0.0656","0.8889","0.1736","-1.219","-1.033","-1.13","7.468E-6","1.23E-5"
"2.7.1.37","1.2275611967362","1.354","0.0122","1.103","0.0736","-0.2952","-0.215","-0.2502","7.468E-6","1.23E-5"
"3.1.1.47","1.3038354403257","1.217","0.0207","0.9334","0.0769","-0.3229","-0.2457","-0.2841","7.468E-6","1.23E-5"
"2.5.1.18","1.1852532445159","1.032","0.0081","0.8707","0.0607","-0.1931","-0.1279","-0.1611","7.468E-6","1.23E-5"
"1.1.1.100","1.064530241715","0.9733","0.0045","0.9143","0.0406","-0.0772","-0.03509","-0.05894","0.0001247","0.0001542"
"3.1.3.48","0.98886544772621","0.8437","0.0044","0.8532","0.0296","-0.00613","0.02372","0.009521","0.05654","0.05974"
"1.6.5.5","1.0001279590531","0.7816","0.009","0.7815","0.0632","-0.0325","0.03324","-0.0001151","0.5351","0.5423"
"1.1.1.1","1.0288575569904","0.7808","0.0078","0.7589","0.0631","-0.05093","0.01385","-0.02185","0.05085","0.05391"
"1.14.13.1","1.2764178196746","0.8395","0.0088","0.6577","0.0879","-0.2223","-0.1345","-0.1818","0.0001247","0.0001542"
"3.2.1.21","1.1961937180876","0.7731","0.0065","0.6463","0.0426","-0.1504","-0.1078","-0.1267","7.468E-6","1.23E-5"
"3.2.1.14","1.2970013477089","0.7699","0.01","0.5936","0.0412","-0.1964","-0.155","-0.1764","7.468E-6","1.23E-5"
"3.1.1.1","1.8538288288288","0.8231","0.0251","0.444","0.0749","-0.4198","-0.3378","-0.3791","7.468E-6","1.23E-5"
"3.2.1.58","0.97885196374622","0.5832","0.0038","0.5958","0.025","0.001011","0.02685","0.01264","0.1129","0.1182"
"2.4.1.16","0.92758007117438","0.5213","0.0033","0.562","0.0252","0.02731","0.05329","0.04065","0.0001806","0.0002204"
"1.2.1.3","1.2304587935429","0.5793","0.0054","0.4708","0.0258","-0.1205","-0.09381","-0.1085","7.468E-6","1.23E-5"
"3.1.1.3","1.0511201629328","0.5161","0.0053","0.491","0.0222","-0.03568","-0.01251","-0.02509","0.0002166","0.0002619"
"6.5.1.1","0.84986149584488","0.4602","0.0072","0.5415","0.0258","0.06767","0.0938","0.08136","9.252E-6","1.432E-5"
"1.14.13.8","1.2543902439024","0.5143","0.0058","0.41","0.029","-0.119","-0.08824","-0.1043","7.468E-6","1.23E-5"
"6.2.1.12","1.2777225261064","0.5139","0.007","0.4022","0.0439","-0.1345","-0.08997","-0.1117","7.468E-6","1.23E-5"
"3.1.3.2","1.0127090301003","0.4542","0.0016","0.4485","0.0217","-0.01547","0.00524","-0.005672","0.0769","0.08087"
"1.10.2.2","1.0607126113455","0.4525","0.0037","0.4266","0.029","-0.04257","-0.0129","-0.02595","0.002247","0.002473"
"3.4.14.9","1.5594983175283","0.5098","0.0101","0.3269","0.0496","-0.2065","-0.154","-0.1829","7.468E-6","1.23E-5"
"4.2.1.17","0.93945218644882","0.391","0.0022","0.4162","0.0182","0.01654","0.03489","0.02521","0.0001247","0.0001542"
"1.14.13.7","1.3412816691505","0.45","0.0056","0.3355","0.0468","-0.1371","-0.088","-0.1145","7.468E-6","1.23E-5"
"6.2.1.3","0.99923155737705","0.3901","0.0016","0.3904","0.007","-0.00366","0.003749","0.0003211","0.8005","0.8059"
"1.9.3.1","1.1130284728214","0.387","0.0036","0.3477","0.0225","-0.05137","-0.02898","-0.03931","9.252E-6","1.432E-5"
"5.3.4.1","0.90371809100999","0.3257","0.002","0.3604","0.0138","0.02798","0.04214","0.03466","7.468E-6","1.23E-5"
"3.2.1.20","0.91320122802121","0.3272","0.0049","0.3583","0.01","0.02545","0.03731","0.03111","9.252E-6","1.432E-5"
"3.6.3.8","0.70274551214361","0.2662","0.0071","0.3788","0.0278","0.09762","0.1256","0.1126","7.468E-6","1.23E-5"
"1.1.1.65","1.0258430507406","0.3255","0.0054","0.3173","0.0221","-0.0209","0.002786","-0.008122","0.3703","0.3779"
"3.1.1.5","1.021109010712","0.3241","0.0008","0.3174","0.0131","-0.01286","0.0005009","-0.006672","0.05654","0.05974"
"5.4.99.7","1.0608439646712","0.3243","0.0017","0.3057","0.026","-0.03069","-0.004478","-0.01856","0.001406","0.001569"
"3.4.23.5","1.5508130081301","0.3815","0.0096","0.246","0.0525","-0.1626","-0.1084","-0.1356","7.468E-6","1.23E-5"
"3.2.1.113","1.0804137470804","0.3238","0.0026","0.2997","0.0124","-0.03009","-0.01723","-0.02414","0.0001247","0.0001542"
"1.2.1.31","1.0916722632639","0.3251","0.0053","0.2978","0.0323","-0.04403","-0.009436","-0.0273","0.001198","0.001376"
"1.1.1.184","1.0880672268908","0.3237","0.0024","0.2975","0.0342","-0.04543","-0.0127","-0.02623","0.001647","0.001827"
"1.1.1.14","1.1010583817002","0.3225","0.0025","0.2929","0.0127","-0.03572","-0.02195","-0.02953","2.136E-5","2.949E-5"
"1.6.99.1","1.6254266211604","0.381","0.0103","0.2344","0.0336","-0.1643","-0.1281","-0.1466","7.468E-6","1.23E-5"
"1.14.11.13","1.6369098712446","0.3814","0.0095","0.233","0.0313","-0.1648","-0.1311","-0.1485","7.468E-6","1.23E-5"
"3.1.26.5","0.76263355472134","0.2641","0.0047","0.3463","0.0169","0.07265","0.09084","0.08224","7.468E-6","1.23E-5"
"3.1.13.4","0.78087059520284","0.2637","0.0047","0.3377","0.017","0.06456","0.08184","0.07391","7.468E-6","1.23E-5"
"1.10.3.2","1.1954579300074","0.3211","0.0053","0.2686","0.0171","-0.06176","-0.04196","-0.05245","7.468E-6","1.23E-5"
"1.6.99.3","0.81919850885368","0.2637","0.0053","0.3219","0.012","0.05067","0.06456","0.05819","7.468E-6","1.23E-5"
"3.6.3.1","0.8374840357599","0.2623","0.0027","0.3132","0.0131","0.04363","0.05736","0.05091","7.468E-6","1.23E-5"
"4.6.1.1","0.83984625240231","0.2622","0.0034","0.3122","0.0287","0.0354","0.06371","0.04999","0.0001502","0.0001849"
"2.4.2.30","0.55239642567019","0.204","0.0121","0.3693","0.0866","0.126","0.2139","0.1652","1.144E-5","1.703E-5"
"3.4.19.12","0.55094850948509","0.2033","0.0104","0.369","0.0609","0.1383","0.1968","0.1656","7.468E-6","1.23E-5"
"2.7.1.137","0.87885906040268","0.2619","0.0026","0.298","0.0157","0.02751","0.04365","0.03607","4.775E-5","6.405E-5"
"1.15.1.1","0.90845805777932","0.261","0.0013","0.2873","0.0124","0.01944","0.03271","0.02631","1.144E-5","1.703E-5"
"3.4.11.18","0.92613636363636","0.2608","0.0013","0.2816","0.0122","0.01551","0.02778","0.02084","7.468E-6","1.23E-5"
"1.1.1.91","1.5636007827789","0.3196","0.0067","0.2044","0.035","-0.1344","-0.09748","-0.1152","7.468E-6","1.23E-5"
"1.3.5.1","0.99769496734537","0.2597","0.0004","0.2603","0.0047","-0.002021","0.003007","0.0006426","0.1753","0.1828"
"2.3.1.16","0.99731079523627","0.2596","0.0011","0.2603","0.016","-0.008563","0.008123","0.0006712","0.2234","0.2314"
"2.1.1.43","0.63841987894234","0.2004","0.0059","0.3139","0.0256","0.1012","0.1269","0.1136","7.468E-6","1.23E-5"
"4.2.99.18","1.0610655737705","0.2589","0.0015","0.244","0.0067","-0.01859","-0.01154","-0.01491","9.252E-6","1.432E-5"
"3.4.16.6","1.0831592143753","0.2592","0.0022","0.2393","0.024","-0.03107","-0.007022","-0.01991","0.001406","0.001569"
"5.99.1.2","1.097145291862","0.2575","0.003","0.2347","0.0078","-0.02685","-0.01834","-0.02286","1.144E-5","1.703E-5"
"1.1.2.3","0.7189424121695","0.1985","0.0044","0.2761","0.0176","0.06903","0.08779","0.07762","7.468E-6","1.23E-5"
"1.14.13.22","0.75626423690205","0.1992","0.0072","0.2634","0.036","0.04642","0.08215","0.06413","1.144E-5","1.703E-5"
"1.6.2.2","0.78041074249605","0.1976","0.0031","0.2532","0.0192","0.04613","0.06524","0.05552","7.468E-6","1.23E-5"
"2.4.1.198","1.3417322834646","0.2556","0.0049","0.1905","0.0076","-0.06952","-0.06064","-0.06506","7.468E-6","1.23E-5"
"3.4.16.5","1.3675213675214","0.256","0.0052","0.1872","0.02","-0.07761","-0.05744","-0.0688","9.252E-6","1.432E-5"
"1.3.1.42","1.4488636363636","0.255","0.0054","0.176","0.0151","-0.08599","-0.06988","-0.07906","7.468E-6","1.23E-5"
"2.1.1.79","1.5026486168334","0.2553","0.005","0.1699","0.0175","-0.0944","-0.07584","-0.08538","7.468E-6","1.23E-5"
"2.4.1.109","0.86693191865606","0.1961","0.0013","0.2262","0.0088","0.02507","0.03432","0.03011","7.468E-6","1.23E-5"
"2.6.1.1","0.87785234899329","0.1962","0.0017","0.2235","0.009","0.02303","0.03251","0.02731","7.468E-6","1.23E-5"
"3.5.1.4","0.49322879543835","0.1384","0.0112","0.2806","0.0439","0.1203","0.1702","0.1423","7.468E-6","1.23E-5"
"6.1.1.12","0.88583032490975","0.1963","0.002","0.2216","0.0084","0.02159","0.02986","0.02525","7.468E-6","1.23E-5"
"6.1.1.20","0.89606227106227","0.1957","0.001","0.2184","0.0081","0.01866","0.02737","0.02264","7.468E-6","1.23E-5"
"4.1.1.65","0.90234914785813","0.1959","0.0013","0.2171","0.0079","0.01731","0.02537","0.02116","7.468E-6","1.23E-5"
"1.1.1.2","0.92409867172676","0.1948","0.0007","0.2108","0.0094","0.01118","0.02084","0.01602","7.468E-6","1.23E-5"
"3.2.1.22","1.6821499668215","0.2535","0.007","0.1507","0.019","-0.1119","-0.09194","-0.1028","7.468E-6","1.23E-5"
"3.1.3.56","0.94895478852698","0.1952","0.0011","0.2057","0.0137","0.00292","0.01704","0.01049","0.001406","0.001569"
"1.1.1.101","0.95741556534508","0.1956","0.0028","0.2043","0.0206","-0.001843","0.01885","0.008735","0.2234","0.2314"
"1.11.1.6","0.95972495088409","0.1954","0.0011","0.2036","0.0112","0.003028","0.01431","0.008286","0.01797","0.01914"
"3.2.1.1","0.96830113917781","0.1955","0.0034","0.2019","0.0366","-0.009058","0.02775","0.00635","0.2802","0.288"
"2.3.1.7","0.9918533604888","0.1948","0.0011","0.1964","0.0111","-0.003765","0.00715","0.001571","0.5972","0.604"
"2.7.1.67","0.99538934426229","0.1943","0.0017","0.1952","0.0122","-0.004836","0.007687","0.0009713","0.8722","0.8761"
"4.2.1.1","1.0061919504644","0.195","0.0013","0.1938","0.0127","-0.007057","0.006443","-0.001172","0.1904","0.1981"
"3.4.23.1","1.8813056379822","0.2536","0.0084","0.1348","0.0356","-0.138","-0.09919","-0.1189","7.468E-6","1.23E-5"
"1.17.4.1","1.0088265835929","0.1943","0.0018","0.1926","0.0134","-0.008407","0.004736","-0.001693","0.2413","0.2494"
"1.1.1.125","1.0198744769874","0.195","0.0013","0.1912","0.0093","-0.007835","0.00158","-0.003757","0.01797","0.01914"
"3.1.4.4","1.0183054393305","0.1947","0.0002","0.1912","0.0057","-0.00645","-0.0005223","-0.003486","0.2064","0.2145"
"3.2.1.59","1.0204724409449","0.1944","0.0018","0.1905","0.015","-0.01116","0.004845","-0.003964","0.01797","0.01914"
"3.1.3.36","1.0538628944505","0.1937","0.0023","0.1838","0.016","-0.01762","-0.00127","-0.009886","0.004717","0.005135"
"1.1.1.195","0.58376511226252","0.1352","0.0075","0.2316","0.0264","0.08087","0.1091","0.09634","7.468E-6","1.23E-5"
"3.1.1.29","1.1301289566237","0.1928","0.0029","0.1706","0.0043","-0.02477","-0.01964","-0.02225","7.468E-6","1.23E-5"
"2.3.1.31","1.1379716981132","0.193","0.0026","0.1696","0.0078","-0.02765","-0.01933","-0.02339","7.468E-6","1.23E-5"
"6.3.1.2","1.1497326203209","0.1935","0.0015","0.1683","0.0042","-0.02761","-0.02291","-0.02519","7.468E-6","1.23E-5"
"2.3.3.1","1.1592548076923","0.1929","0.0024","0.1664","0.0129","-0.034","-0.02152","-0.02655","7.468E-6","1.23E-5"
"1.1.1.21","1.1656590084643","0.1928","0.0033","0.1654","0.0181","-0.03559","-0.01807","-0.02739","0.0001502","0.0001849"
"3.4.17.4","1.1944099378882","0.1923","0.005","0.161","0.0323","-0.04528","-0.01364","-0.03126","0.001406","0.001569"
"3.6.1.17","1.283422459893","0.192","0.0033","0.1496","0.0141","-0.04958","-0.03526","-0.04243","7.468E-6","1.23E-5"
"3.1.3.5","1.3592644978784","0.1922","0.003","0.1414","0.016","-0.05987","-0.04319","-0.05081","7.468E-6","1.23E-5"
"6.3.2.17","0.66850551654965","0.1333","0.004","0.1994","0.0312","0.05281","0.08345","0.06604","7.468E-6","1.23E-5"
"2.4.1.131","1.363184079602","0.1918","0.0036","0.1407","0.0147","-0.05955","-0.04414","-0.05107","7.468E-6","1.23E-5"
"3.5.3.11","1.4038179148311","0.1912","0.0049","0.1362","0.0273","-0.0687","-0.04044","-0.05501","0.0001247","0.0001542"
"1.6.2.4","0.69378238341969","0.1339","0.0056","0.193","0.008","0.05369","0.06364","0.0591","7.468E-6","1.23E-5"
"2.6.1.42","0.71443907675792","0.1331","0.0042","0.1863","0.0138","0.04603","0.06083","0.05323","7.468E-6","1.23E-5"
"2.7.6.1","0.71428571428571","0.1325","0.0031","0.1855","0.0132","0.04578","0.05915","0.05299","7.468E-6","1.23E-5"
"1.1.1.95","0.72722283205269","0.1325","0.0031","0.1822","0.0162","0.04176","0.05874","0.04967","7.468E-6","1.23E-5"
"2.1.1.37","1.5812603648425","0.1907","0.0058","0.1206","0.0158","-0.07849","-0.06203","-0.07004","7.468E-6","1.23E-5"
"3.2.1.23","1.6003344481605","0.1914","0.0033","0.1196","0.0155","-0.07896","-0.0631","-0.07181","7.468E-6","1.23E-5"
"3.1.4.11","1.5893155258765","0.1904","0.0057","0.1198","0.0114","-0.07688","-0.06441","-0.07067","7.468E-6","1.23E-5"
"3.5.1.41","1.6317596566524","0.1901","0.0065","0.1165","0.0158","-0.08196","-0.06468","-0.07361","7.468E-6","1.23E-5"
"3.1.27.9","0.76138328530259","0.1321","0.0024","0.1735","0.0085","0.03686","0.04597","0.04142","7.468E-6","1.23E-5"
"3.2.1.52","0.77568995889607","0.1321","0.0034","0.1703","0.0074","0.03416","0.04262","0.03815","7.468E-6","1.23E-5"
"2.1.1.100","1.7451879010082","0.1904","0.0053","0.1091","0.0154","-0.08921","-0.07273","-0.0813","7.468E-6","1.23E-5"
"1.2.4.1","0.79480989740495","0.1317","0.002","0.1657","0.0081","0.02938","0.03786","0.03394","7.468E-6","1.23E-5"
"3.1.26.4","0.80390959071472","0.1316","0.0021","0.1637","0.0052","0.02946","0.03523","0.03211","7.468E-6","1.23E-5"
"2.7.4.3","0.83227445997459","0.131","0.0012","0.1574","0.0059","0.02311","0.02931","0.02636","7.468E-6","1.23E-5"
"2.3.1.24","0.83535417996171","0.1309","0.0012","0.1567","0.0056","0.02276","0.02863","0.02571","7.468E-6","1.23E-5"
"2.7.6.2","0.83642172523962","0.1309","0.0012","0.1565","0.0054","0.02256","0.02858","0.02564","7.468E-6","1.23E-5"
"1.1.1.37","0.84383033419023","0.1313","0.0019","0.1556","0.0061","0.02113","0.02777","0.02429","7.468E-6","1.23E-5"
"3.1.1.23","0.85035783994795","0.1307","0.0011","0.1537","0.0064","0.02012","0.02702","0.02295","7.468E-6","1.23E-5"
"1.5.1.3","0.8525766470972","0.1307","0.0009","0.1533","0.0067","0.01941","0.02629","0.02256","7.468E-6","1.23E-5"
"3.2.1.28","0.85695538057743","0.1306","0.0008","0.1524","0.0049","0.01918","0.02418","0.02181","7.468E-6","1.23E-5"
"1.1.1.4","2.0440081976054","0.1895","0.0059","0.0927","0.0185","-0.1061","-0.0857","-0.09683","7.468E-6","1.23E-5"
"4.2.1.9","0.86763732627399","0.1311","0.0018","0.1511","0.0064","0.01681","0.02388","0.02003","7.468E-6","1.23E-5"
"3.4.24.64","0.86384666226041","0.1307","0.0009","0.1513","0.0057","0.01754","0.02362","0.02064","7.468E-6","1.23E-5"
"4.1.1.15","0.8709248170326","0.1309","0.0012","0.1503","0.0085","0.01509","0.02361","0.01942","2.62E-5","3.557E-5"
"2.7.1.23","0.86693280106454","0.1303","0.0011","0.1503","0.0076","0.01571","0.0233","0.01996","0.0001034","0.0001346"
"6.1.1.1","0.87316421895861","0.1308","0.001","0.1498","0.0059","0.01589","0.02222","0.01894","7.468E-6","1.23E-5"
"6.1.1.2","0.87224080267559","0.1304","0.0008","0.1495","0.0056","0.01602","0.02175","0.01904","7.468E-6","1.23E-5"
"6.1.1.22","0.89466484268126","0.1308","0.0011","0.1462","0.0055","0.01257","0.01824","0.0154","7.468E-6","1.23E-5"
"2.1.1.41","0.89192886456908","0.1304","0.0012","0.1462","0.0117","0.009807","0.02163","0.01579","0.0001247","0.0001542"
"6.1.1.10","0.89513365318711","0.1306","0.0008","0.1459","0.0055","0.01254","0.01821","0.01525","7.468E-6","1.23E-5"
"6.1.1.17","0.89567604667124","0.1305","0.0007","0.1457","0.0054","0.01232","0.01814","0.01521","7.468E-6","1.23E-5"
"1.1.1.41","0.89629120879121","0.1305","0.0007","0.1456","0.0054","0.01233","0.01775","0.0151","7.468E-6","1.23E-5"
"2.3.1.50","0.89629120879121","0.1305","0.0007","0.1456","0.0054","0.01217","0.01787","0.01509","7.468E-6","1.23E-5"
"1.5.1.20","0.89690721649485","0.1305","0.0007","0.1455","0.0054","0.01216","0.01789","0.01503","7.468E-6","1.23E-5"
"6.1.1.5","0.89690721649485","0.1305","0.0007","0.1455","0.0054","0.01215","0.01764","0.01499","7.468E-6","1.23E-5"
"6.1.1.11","0.89683631361761","0.1304","0.0007","0.1454","0.0054","0.01226","0.01784","0.01496","7.468E-6","1.23E-5"
"2.4.1.141","0.89807162534435","0.1304","0.0007","0.1452","0.0054","0.01213","0.01775","0.01475","7.468E-6","1.23E-5"
"2.7.7.9","0.90568654646325","0.1306","0.001","0.1442","0.0044","0.01144","0.01601","0.01357","7.468E-6","1.23E-5"
