Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"Ectomycorrhizal-Fungal Parasite","70.527119938885","92.32","9.739","1.309","4.748","-96.04","-84.88","-91.01","7.361E-6","0.0001434"
"Ectomycorrhizal","0.10518793012176","3.974","6.14","37.78","18.52","23.78","43.22","33.8","3.207E-5","0.0001881"
"Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","0.0042752114508783","0.0657","0.1013","15.37","9.306","10.58","20.16","15.3","7.404E-6","0.0001434"
"Undefined Saprotroph","0.056492434662999","0.8214","0.9926","14.54","7.048","10.6","17.48","13.72","7.468E-6","0.0001434"
"unknown","0.083393162393162","0.9757","1.83","11.7","6.092","7.947","14.43","10.72","1.141E-5","0.0001434"
"Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph","0.17703363914373","0.5789","0.8166","3.27","3.164","0.9433","4.424","2.691","0.01795","0.03038"
"Ericoid Mycorrhizal","0.020894588676885","0.0668","0.165","3.197","3.094","1.872","4.938","3.131","9.097E-6","0.0001434"
"Ectomycorrhizal-Undefined Saprotroph","0.080916884084979","0.2171","0.3538","2.683","2.008","1.43","3.492","2.466","0.0005186","0.001791"
"Fungal Parasite-Undefined Saprotroph","0.054091110128262","0.1223","0.2948","2.261","4.059","0.8412","4.421","2.138","3.05E-5","0.0001881"
"Wood Saprotroph","0.49295326904737","0.4652","1.486","0.9437","0.8579","-0.4351","1.286","0.4786","0.0008367","0.002611"
"Animal Pathogen-Undefined Saprotroph","0.083538767395626","0.084","0.1605","1.006","0.6773","0.554","1.275","0.9222","0.003747","0.008678"
"Ectomycorrhizal-Wood Saprotroph","0.0011810344827586","0.0007","0.0021","0.6148","1.6","0.01126","1.651","0.6141","0.004104","0.009029"
"Animal Pathogen-Soil Saprotroph","0.0054386549026136","0.0033","0.0061","0.6007","0.6143","0.3055","0.9195","0.5974","2.958E-5","0.0001881"
