Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"1.6.5.3","0.08161","0.1127","1.071","0.0566","1.134","0.0584","1.084","0.0295","1.145","0.0313","1.073","0.0407","1.071","0.0281","1.032","0.023","1.076","0.0118"
"2.7.7.7","0.08423","0.1154","1.057","0.0446","1.104","0.0435","1.061","0.0188","1.105","0.022","1.063","0.0307","1.055","0.0226","1.027","0.0218","1.056","0.009"
"3.6.4.12","0.008781","0.02531","0.973","0.0286","0.9993","0.0214","0.9678","0.0219","0.9915","0.0109","0.9868","0.0184","0.9489","0.0084","0.9552","0.0035","0.9508","0.0052"
"2.7.13.3","0.002739","0.01834","0.8696","0.0093","0.8992","0.0126","0.8584","0.0117","0.9107","0.0072","0.8694","0.0091","0.8582","0.0068","0.8868","0.0047","0.8793","0.0005"
"1.1.1.100","0.01546","0.03524","0.7143","0.0104","0.7125","0.0083","0.7129","0.0198","0.6977","0.0068","0.7228","0.0168","0.6931","0.0071","0.729","0.0283","0.7229","0.0018"
"2.7.11.1","0.005044","0.02038","0.5847","0.0191","0.5361","0.0243","0.5746","0.0566","0.5052","0.0238","0.625","0.0318","0.5165","0.0359","0.6136","0.0736","0.5267","0.0027"
"1.9.3.1","0.004089","0.01906","0.5196","0.0053","0.5539","0.0268","0.5339","0.0302","0.5875","0.0196","0.4994","0.0184","0.5878","0.0243","0.5152","0.0505","0.5821","0.0025"
"5.2.1.8","0.006046","0.02211","0.5267","0.0067","0.5541","0.0321","0.5265","0.0297","0.573","0.0172","0.502","0.023","0.5715","0.0143","0.5194","0.0372","0.5521","0.0057"
"6.3.5.7","0.001129","0.01834","0.4756","0.0086","0.5081","0.0093","0.4933","0.0035","0.5329","0.0024","0.476","0.0131","0.5041","0.0018","0.4659","0.0245","0.5124","0.0001"
"6.3.5.6","0.001129","0.01834","0.4752","0.0085","0.508","0.0093","0.4931","0.0035","0.5328","0.0024","0.4757","0.0131","0.5039","0.0018","0.4658","0.0245","0.5123","0.0001"
"2.3.1.9","0.04455","0.07127","0.481","0.0126","0.4631","0.0378","0.4901","0.0139","0.4292","0.0355","0.4942","0.0116","0.4467","0.033","0.4936","0.0343","0.4454","0.0054"
"2.7.7.6","0.08568","0.1168","0.4216","0.0152","0.4399","0.0152","0.4213","0.0109","0.4449","0.0092","0.4261","0.009","0.4203","0.0082","0.4125","0.0075","0.425","0.0035"
"2.2.1.6","0.035","0.06046","0.3985","0.006","0.4119","0.0129","0.4015","0.0031","0.4226","0.0078","0.3932","0.0115","0.4038","0.0092","0.4047","0.0053","0.417","0.0013"
"4.2.1.17","0.006544","0.0225","0.4157","0.0086","0.4013","0.0347","0.4294","0.0406","0.3448","0.0327","0.4413","0.0119","0.3694","0.0235","0.4393","0.0495","0.3662","0.0052"
"6.2.1.3","0.02308","0.04586","0.3845","0.0173","0.3691","0.0382","0.4018","0.0242","0.3454","0.0118","0.4174","0.0164","0.3683","0.0157","0.3885","0.0381","0.3693","0.0049"
"1.2.99.2","0.0391","0.06578","0.3616","0.0227","0.349","0.0603","0.3869","0.018","0.3398","0.0167","0.3874","0.0179","0.3236","0.0229","0.3504","0.0366","0.3415","0.0051"
"6.4.1.2","0.1215","0.1527","0.3512","0.0048","0.3567","0.0159","0.3391","0.0072","0.3772","0.0128","0.3556","0.0119","0.3447","0.0132","0.3548","0.0112","0.3519","0.0017"
"1.2.4.1","0.003277","0.0184","0.3693","0.0042","0.3422","0.0264","0.3675","0.0334","0.3051","0.0134","0.3954","0.0143","0.3052","0.0078","0.3755","0.0495","0.3148","0.0022"
"5.1.3.2","0.287","0.314","0.3428","0.017","0.3518","0.0184","0.3542","0.015","0.3402","0.0015","0.3532","0.0038","0.3393","0.0041","0.3412","0.015","0.3513","0.0024"
"3.6.3.17","0.03962","0.06598","0.3629","0.0202","0.318","0.0597","0.3543","0.0108","0.3073","0.0172","0.378","0.023","0.3136","0.024","0.3805","0.0722","0.3306","0.0059"
"4.2.99.18","0.002712","0.01834","0.3406","0.0108","0.3256","0.0052","0.3441","0.0265","0.3194","0.0089","0.3609","0.0152","0.3045","0.0152","0.349","0.0305","0.3121","0.0018"
"1.1.1.1","0.2288","0.2606","0.3311","0.0131","0.3247","0.0183","0.3218","0.013","0.3179","0.0156","0.3295","0.0078","0.3145","0.0083","0.3491","0.0223","0.3224","0.0031"
