Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"PWY-3781","1.0258760107817","1.903","0.0732","1.855","0.0341","-0.09328","-0.01165","-0.04814","0.03263","0.05055"
"PWY-7111","0.94060211554109","1.156","0.0505","1.229","0.0474","0.03814","0.1113","0.07307","0.001019","0.002495"
"PWY-5101","0.96306818181818","1.017","0.0347","1.056","0.0283","0.01699","0.06301","0.03952","0.005439","0.01058"
"ILEUSYN-PWY","0.95726495726496","1.008","0.0413","1.053","0.0321","0.01986","0.07424","0.04546","0.004082","0.008361"
"VALSYN-PWY","0.95726495726496","1.008","0.0413","1.053","0.0321","0.01957","0.07302","0.04546","0.004082","0.008361"
"BRANCHED-CHAIN-AA-SYN-PWY","0.97439165701043","0.8409","0.0217","0.863","0.021","0.007937","0.03871","0.02215","0.01396","0.02408"
"PWY-7094","1.0404126213592","0.8573","0.0383","0.824","0.0432","-0.06127","-0.004349","-0.03332","0.05085","0.07318"
"PWY-5973","0.78596977039345","0.6812","0.0805","0.8667","0.0286","0.142","0.2329","0.1855","9.252E-6","0.0001135"
"PWY-7663","0.75749538745387","0.6569","0.0876","0.8672","0.0336","0.1638","0.259","0.2103","7.468E-6","0.0001135"
"FASYN-ELONG-PWY","0.76722728334501","0.6569","0.0876","0.8562","0.0295","0.1495","0.2472","0.1992","7.468E-6","0.0001135"
"FAO-PWY","1.0569139383893","0.7651","0.0267","0.7239","0.0334","-0.06183","-0.02015","-0.04119","0.001406","0.00331"
"PWY-5103","0.9711372964385","0.7335","0.0166","0.7553","0.0161","0.01005","0.03431","0.02178","0.002616","0.005715"
"PWY-6969","1.0051275131561","0.7449","0.0203","0.7411","0.0146","-0.01647","0.00903","-0.003827","0.7652","0.8069"
"TCA","0.99647505422993","0.735","0.0155","0.7376","0.0126","-0.007892","0.01272","0.002609","0.6625","0.7163"
"NONOXIPENT-PWY","0.98657080846446","0.7273","0.0153","0.7372","0.0089","0.001305","0.01836","0.009816","0.1237","0.1627"
"SER-GLYSYN-PWY","0.97360536453132","0.6824","0.013","0.7009","0.0132","0.008785","0.02766","0.0185","0.002247","0.005037"
"PWY0-1319","0.97732960400412","0.6639","0.0131","0.6793","0.022","0.002381","0.02827","0.01537","0.1478","0.1891"
"PWY-5667","0.97732960400412","0.6639","0.0131","0.6793","0.022","0.002892","0.02878","0.01537","0.1478","0.1891"
"PHOSLIPSYN-PWY","1.0071856287425","0.6728","0.02","0.668","0.024","-0.02058","0.01087","-0.004777","0.5351","0.592"
"PWY-3001","0.96191881918819","0.6517","0.0142","0.6775","0.0125","0.01688","0.0358","0.02577","0.0001806","0.0005657"
"REDCITCYC","0.99363829142684","0.656","0.0294","0.6602","0.0246","-0.01531","0.02447","0.004251","0.3953","0.4539"
"PWY-5659","1.0318934819632","0.6665","0.0156","0.6459","0.0183","-0.03189","-0.007357","-0.02053","0.008242","0.01547"
"PWY-2942","0.98799027059897","0.6499","0.0073","0.6578","0.0094","0.001986","0.01449","0.007865","0.04564","0.06658"
"PWY-5695","1.0433897243108","0.6661","0.0265","0.6384","0.034","-0.04733","-0.004736","-0.02765","0.01797","0.02967"
"PWY-7229","0.99033445842283","0.6455","0.0137","0.6518","0.0162","-0.004309","0.01729","0.006266","0.3232","0.3804"
"PWY4FS-7","1.0031254883576","0.6419","0.0186","0.6399","0.0214","-0.01592","0.01251","-0.001984","0.9085","0.9172"
"PWY4FS-8","1.0031254883576","0.6419","0.0186","0.6399","0.0214","-0.01646","0.01194","-0.001984","0.9085","0.9172"
"PWY-7219","0.98618655905634","0.6354","0.0145","0.6443","0.015","-0.001076","0.01985","0.008894","0.3953","0.4539"
"PWY-7208","1.0031338138515","0.6402","0.0188","0.6382","0.0146","-0.01443","0.01087","-0.00207","0.8722","0.8889"
"PENTOSE-P-PWY","0.99795918367347","0.6357","0.0126","0.637","0.0178","-0.01035","0.01212","0.001251","0.8362","0.8709"
"P105-PWY","0.99936848752763","0.633","0.0244","0.6334","0.0254","-0.017","0.0179","0.000401","0.8722","0.8889"
"PWY-6126","0.98965462358746","0.6218","0.0139","0.6283","0.0163","-0.003553","0.01718","0.006501","0.3462","0.4041"
"P108-PWY","1.0267300754346","0.6261","0.0267","0.6098","0.0213","-0.03273","0.00134","-0.01631","0.0769","0.1071"
"PWY-7228","1.0210956663941","0.6244","0.016","0.6115","0.0148","-0.02358","-0.001856","-0.01287","0.04089","0.06155"
"PWY-7220","1.0065348799216","0.6161","0.014","0.6121","0.018","-0.01542","0.007781","-0.003977","0.4763","0.5298"
"PWY-7222","1.0065348799216","0.6161","0.014","0.6121","0.018","-0.01476","0.007373","-0.003977","0.4763","0.5298"
"PWY0-162","0.97755892799483","0.6055","0.0157","0.6194","0.0189","0.0007761","0.02655","0.01389","0.1237","0.1627"
"PWY-5097","0.97690195445001","0.6048","0.0086","0.6191","0.0111","0.007379","0.02165","0.01427","0.003526","0.007437"
"PWY-5686","0.97462831286361","0.6031","0.0155","0.6188","0.0189","0.004317","0.02857","0.01574","0.06953","0.09841"
