"Functional groups",ASCK-mean£¨%£©,ASCK-sd£¨%£©,ASTb-mean£¨%£©,ASTb-sd£¨%£©,KDCK-mean£¨%£©,KDCK-sd£¨%£©,KDTb-mean£¨%£©,KDTb-sd£¨%£©,XBCK-mean£¨%£©,XBCK-sd£¨%£©,XBTb-mean£¨%£©,XBTb-sd£¨%£©,XYCK-mean£¨%£©,XYCK-sd£¨%£©,XYTb-mean£¨%£©,XYTb-sd£¨%£©,P_value,P_adjust
chemoheterotrophy,33.7,1.831,38.16,0.3905,34.44,2.305,37.99,1.255,35.03,0.2436,38.74,0.761,34.24,0.2911,36.51,1.348,0.002934,0.04652
aerobic_chemoheterotrophy,33.42,1.873,37.74,0.4113,34.14,2.341,37.63,1.271,34.59,0.2559,38.35,0.8323,33.86,0.259,36.07,1.61,0.004733,0.04652
nitrogen_fixation,6.845,1.75,4.353,1.413,10.96,0.6572,5.82,1.77,10.64,1.109,3.518,1.515,9.672,0.2687,4.397,2.632,0.002073,0.04652
cellulolysis,5.233,3.514,4.719,2.84,6.323,0.4345,3.311,2.376,5.249,0.3922,5.706,1.718,8.532,0.15,10.43,6.628,0.07307,0.176
animal_parasites_or_symbionts,1.758,0.6663,1.425,0.3732,2.286,1.662,0.9388,0.1233,2.614,0.9006,1.107,0.2979,1.924,0.2753,1.6,0.5899,0.05656,0.1499
nitrate_reduction,1.394,0.6309,1.495,0.4895,0.6097,0.05139,0.9182,0.1877,0.896,0.1236,0.923,0.4114,1.073,0.04589,1.286,0.3489,0.04206,0.1201
aromatic_compound_degradation,1.024,0.7597,1.539,0.5471,0.2055,0.0504,2.236,0.7561,0.63,0.1285,1.871,0.6614,0.2131,0.07525,0.6503,0.3222,0.004379,0.04652
predatory_or_exoparasitic,0.9244,0.34,0.9051,0.47,0.61,0.1629,1.006,0.1239,1.079,0.06927,0.9948,0.319,0.972,0.2203,1.238,0.5715,0.5085,0.5284
ureolysis,0.8118,0.6234,1.182,0.4317,0.5548,0.1085,1.134,0.6821,1.472,0.1873,1.161,0.361,0.7439,0.02235,0.5545,0.1158,0.03635,0.1133
phototrophy,1.35,0.5553,0.8346,0.3667,1.025,0.4302,0.9981,0.5466,0.587,0.06043,0.507,0.2086,1.061,0.03418,0.6805,0.3794,0.08065,0.1781
human_pathogens_all,0.8234,0.7409,0.8656,0.1216,0.5039,0.3789,0.6343,0.1232,1.004,0.159,0.7448,0.1974,0.6561,0.08143,0.5782,0.2206,0.1521,0.2549
photoheterotrophy,1.157,0.5559,0.6694,0.3369,0.5364,0.1574,0.8204,0.5731,0.4266,0.04994,0.3885,0.1779,0.8013,0.04403,0.494,0.2871,0.1085,0.2286
